Title,price,Image
Title,price,Image
"['DELL SE-Series 24 inch Full HD LED Backlit VA Panel Monitor (SE2422H)', '\xa0\xa0(AMD Free Sync, Response Time: 8 ms, 75 Hz Refresh Rate)']","['₹9,346']"
"['DELL 27 inch Full HD LED Backlit IPS Panel with 99% sRGB Color Gamut, Flicker Free Technology Monitor (S2721HNM)', '\xa0\xa0(Adaptive Sync, Response Time: 4 ms, 75 Hz Refresh Rate)']","['₹15,699']"
"['Acer 21.5 inch Full HD VA Panel with VGA, HDMI, Ergonomic Stand, 2X2W Inbuilt Speakers, ZeroFrame Design Monitor (KA222Q H)', '\xa0\xa0(AMD Free Sync, Response Time: 1 ms, 100 Hz Refresh Rate)']","['₹6,065']"
"['MarQ by Flipkart 22 inch Full HD LED Backlit VA Panel with 2 X 3W Inbuilt Speakers Monitor (22FHDMVQIIHB)', '\xa0\xa0(Adaptive Sync, Response Time: 5 ms, 75 Hz Refresh Rate)']","['₹6,499']"
"['Acer 27 inch Full HD LED Backlit IPS Panel White Colour Monitor (HA270)', '\xa0\xa0(Frameless, AMD Free Sync, Response Time: 4 ms, 75 Hz Refresh Rate)']","['₹10,550']"
"['ZEBRONICS 18.5 inch HD LED Backlit TN Panel HDMI, VGA Input, HD 1366 x 768, 16.7M Colors, Glossy Panel, Slim Design, Wall Mountable Monitor (ZEB-V19HD LED)', '\xa0\xa0(Response Time: 8 ms, 60 Hz Refresh Rate)']","['₹4,299']"
"['SAMSUNG 24 inch Full HD LED Backlit IPS Panel with 3-Sided Borderless Display, Game & Free Sync Mode, Eye Saver Mode & Flicker Free Monitor (LS24C310EAWXXL/LF24T350FHWXXL)', '\xa0\xa0(AMD Free Sync, Response Time: 5 ms, 75 Hz Refresh Rate)']","['₹9,399']"
"['Lenovo D-Series 19.5 Inch Full HD TN Panel with Fully Adjustable Tilt Stand, Seamless Connectivity, HDMI 1.4 +VGA, TUV Certified Flicker Free & Low Blue Light Monitor (D20-30)', '\xa0\xa0(Response Time: 5 ms, 60 Hz Refresh Rate)']","['₹5,999']"
"['SAMSUNG 22 inch Full HD LED Backlit VA Panel (54.48 cm) Monitor (LS22A33ANHWXXL)', '\xa0\xa0(Response Time: 5 ms, 60 Hz Refresh Rate)']","['₹6,899']"
"['MarQ by Flipkart 24 inch Full HD LED Backlit VA Panel with 2 X 3W Inbuilt Speakers Monitor (24FHDMVQIIHB)', '\xa0\xa0(Adaptive Sync, Response Time: 5 ms, 75 Hz Refresh Rate)']","['₹7,499']"
"['Lenovo 27 inch Full HD VA Panel with TUV Eye Care Monitor (D27-30)', '\xa0\xa0(Response Time: 4 ms, 75 Hz Refresh Rate)']","['₹10,999']"
"['KiTech 17 inch HD TN Panel Monitor (KTM17HV)', '\xa0\xa0(Response Time: 10 ms)']","['₹2,899']"
"['ZEBRONICS 24 inch Full HD VA Panel Wall Mountable Monitor (ZEB-A24FHD LED)', '\xa0\xa0(Response Time: 14 ms, 75 Hz Refresh Rate)']","['₹7,999']"
"['ZEBRONICS 15.4 inch HD TN Panel Monitor (Zeb-V16HD LED)', '\xa0\xa0(Response Time: 10 ms, 60 Hz Refresh Rate)']","['₹3,299']"
